\ufeffvideo,path,fps,effective_fps,num_frames,duration_s,reference_frame_count,clean_reference_frame_count,reference_spike_frame_count,reference_spike_duration_s,reference_spike_fraction,reference_mode,reference_platform_start_s,reference_platform_end_s,reference_platform_duration_s,highpass_abs_detected,highpass_abs_base_mean,highpass_abs_active_mean,highpass_abs_active_median,highpass_abs_delta_mean,highpass_abs_delta_median,highpass_abs_active_p90,highpass_abs_active_p95,highpass_abs_snr_mean,highpass_abs_snr_median,highpass_abs_snr_p90,highpass_abs_snr_mean_db,highpass_abs_snr_median_db,highpass_abs_snr_p90_db,highpass_abs_active_fraction_above,highpass_abs_active_peak,highpass_abs_pre_transient_peak,highpass_abs_active_peak_over_pre,highpass_abs_relative_gain,highpass_abs_peak_detected,highpass_abs_pulse_detected,highpass_abs_persistent_detected,highpass_abs_transient_suppressed,highpass_topk_detected,highpass_topk_base_mean,highpass_topk_active_mean,highpass_topk_active_median,highpass_topk_delta_mean,highpass_topk_delta_median,highpass_topk_active_p90,highpass_topk_active_p95,highpass_topk_snr_mean,highpass_topk_snr_median,highpass_topk_snr_p90,highpass_topk_snr_mean_db,highpass_topk_snr_median_db,highpass_topk_snr_p90_db,highpass_topk_active_fraction_above,highpass_topk_active_peak,highpass_topk_pre_transient_peak,highpass_topk_active_peak_over_pre,highpass_topk_relative_gain,highpass_topk_peak_detected,highpass_topk_pulse_detected,highpass_topk_persistent_detected,highpass_topk_transient_suppressed,mean_removed_abs_detected,mean_removed_abs_base_mean,mean_removed_abs_active_mean,mean_removed_abs_active_median,mean_removed_abs_delta_mean,mean_removed_abs_delta_median,mean_removed_abs_active_p90,mean_removed_abs_active_p95,mean_removed_abs_snr_mean,mean_removed_abs_snr_median,mean_removed_abs_snr_p90,mean_removed_abs_snr_mean_db,mean_removed_abs_snr_median_db,mean_removed_abs_snr_p90_db,mean_removed_abs_active_fraction_above,mean_removed_abs_active_peak,mean_removed_abs_pre_transient_peak,mean_removed_abs_active_peak_over_pre,mean_removed_abs_relative_gain,mean_removed_abs_peak_detected,mean_removed_abs_pulse_detected,mean_removed_abs_persistent_detected,mean_removed_abs_transient_suppressed,raw_abs_detected,raw_abs_base_mean,raw_abs_active_mean,raw_abs_active_median,raw_abs_delta_mean,raw_abs_delta_median,raw_abs_active_p90,raw_abs_active_p95,raw_abs_snr_mean,raw_abs_snr_median,raw_abs_snr_p90,raw_abs_snr_mean_db,raw_abs_snr_median_db,raw_abs_snr_p90_db,raw_abs_active_fraction_above,raw_abs_active_peak,raw_abs_pre_transient_peak,raw_abs_active_peak_over_pre,raw_abs_relative_gain,raw_abs_peak_detected,raw_abs_pulse_detected,raw_abs_persistent_detected,raw_abs_transient_suppressed,temporal_abs_detected,temporal_abs_base_mean,temporal_abs_active_mean,temporal_abs_active_median,temporal_abs_delta_mean,temporal_abs_delta_median,temporal_abs_active_p90,temporal_abs_active_p95,temporal_abs_snr_mean,temporal_abs_snr_median,temporal_abs_snr_p90,temporal_abs_snr_mean_db,temporal_abs_snr_median_db,temporal_abs_snr_p90_db,temporal_abs_active_fraction_above,temporal_abs_active_peak,temporal_abs_pre_transient_peak,temporal_abs_active_peak_over_pre,temporal_abs_relative_gain,temporal_abs_peak_detected,temporal_abs_pulse_detected,temporal_abs_persistent_detected,temporal_abs_transient_suppressed
IMG_0370.MOV,data/distance_layout\dense_uniform\distance_2\IMG_0370.MOV,30.0,30.0,462,15.366666793823242,150,145,5,0.16666650772094727,0.03333333333333333,auto_platform,0.1666666716337204,5.0,4.833328723907471,True,0.000564970017876476,0.0010608070297166705,0.0010766400955617428,0.0004958370118401945,0.0005204359767958522,0.001249998458661139,0.0012921710731461644,13.2859763393093,13.945106776465332,18.59025236939313,22.467869493622644,22.888436879394767,25.38570571032865,0.9391025641025641,0.0007359669543802738,0.00018785474821925163,3.9177447541613475,1.877634203853634,True,True,True,False,False,0.0030289969872683287,0.003082572016865015,0.003095170482993126,5.357502959668636e-05,7.580500096082687e-05,0.0032098095398396254,0.003244484541937709,0.5702202279643097,0.8068226047492641,2.0269714244648487,-4.87914761224424,-1.864438853202651,6.136952524085033,0.0,0.0002251190599054098,0.0005648506339639425,0.39854617551828825,1.0176873829263866,False,False,False,False,True,0.0005516840610653162,0.0012323179980739951,0.0012282566167414188,0.0006806339370086789,0.0006860593566671014,0.0017190583748742938,0.0018054116517305374,15.18675321871167,15.307808759701185,26.25890122628024,23.62929871634032,23.69826055899633,28.385530991545238,0.9166666666666666,0.00126321439165622,0.000209248682949692,6.036904862908621,2.2337386287621888,True,True,True,False,True,0.0005104290903545916,0.0027011989150196314,0.0028950669802725315,0.0021907698246650398,0.002389131812378764,0.004408159293234348,0.004543884191662073,89.55810104071021,97.66708754321421,159.5219080371359,39.04209752746449,39.794964742853104,44.05640671165899,0.9423076923076923,0.004037949023768306,0.00015446980250999331,26.14070166566746,5.292016003913741,True,True,True,False,False,0.00024363657576031983,0.0003372170904185623,0.0003282866673544049,9.358051465824246e-05,8.02100112196058e-05,0.000454835535492748,0.00048004742711782455,1.359012571513586,1.1648409287636772,3.002632731244167,2.6644694836377725,1.3253324389659822,9.550044289344429,0.003205128205128205,0.00023197077098302543,9.167345706373453e-05,2.530402784109597,1.3840987929099091,False,False,False,False
IMG_0371.MOV,data/distance_layout\dense_uniform\distance_2\IMG_0371.MOV,30.0,30.0,469,15.600000381469727,150,147,3,0.09999990463256836,0.02,auto_platform,0.03333333507180214,5.0,4.89999532699585,True,0.0005331555148586631,0.0011118336115032434,0.0011574341915547848,0.0005786780966445804,0.000627893372438848,0.0013124633114784956,0.0014198278076946735,20.791239922790545,22.559488302741578,28.129506670539993,26.357607800644438,27.066584893977854,28.983242313306885,0.9153605015673981,0.0008902869885787368,0.00010032887803390622,8.873686280812027,2.0853833084667333,True,True,True,False,False,0.003018301213160157,0.0030440783593803644,0.003054248169064522,2.5777146220207214e-05,4.5419204980134964e-05,0.0031945088412612677,0.003231153590604663,0.30241880652612285,0.5328604511189111,2.1784058782942335,-10.387824096977784,-5.467730237636349,6.762776005008565,0.0,0.00022232462652027607,0.00044379127211868763,0.5009666491611794,1.008540282894171,False,False,False,False,True,0.0005110065685585141,0.0015284412074834108,0.0016396790742874146,0.0010174346389248967,0.001133924932219088,0.0019512813305482268,0.0019946680404245853,28.795671932945602,32.09260732391744,40.91164689812869,29.18654434067725,30.128100044864645,32.23693924744652,0.9059561128526645,0.0014889138983562589,8.243147749453783e-05,18.06244342102104,2.9910402361264223,True,True,True,False,True,0.00047985889250412583,0.0036915275268256664,0.004357846453785896,0.0032116686343215406,0.0038816525193396956,0.005939755123108625,0.006306849420070648,175.4317977612601,212.02849897873725,298.43750107432055,44.88216627782424,46.52788477681735,49.49706789654442,0.9153605015673981,0.0058306554856244475,0.00010045294766314328,58.04364751123919,7.692943872648826,True,True,True,False,False,0.000229559387662448,0.00032620245474390686,0.00031530839623883367,9.664306708145887e-05,8.978418190963566e-05,0.0004456869210116565,0.0004754305991809815,1.5591373691359747,1.4484833459871809,3.5518730276783548,3.857687615252418,3.2182701249005734,11.009148644584727,0.0219435736677116,0.0002499063848517835,0.0,24990.63848517835,1.4209937483522397,False,False,False,False
IMG_0372.MOV,data/distance_layout\dense_uniform\distance_2\IMG_0372.MOV,30.0,30.0,472,15.699999809265137,150,145,5,0.16666650772094727,0.03333333333333333,auto_platform,0.1666666716337204,5.0,4.833328723907471,True,0.0005971852224320173,0.0011017690412700176,0.0011402489617466927,0.0005045838188380003,0.0005524049047380686,0.0012494897237047553,0.0013198009692132473,8.335111356527888,9.125057568209968,10.929582171652989,18.41822812695782,19.20471226032818,20.772071191392985,0.8913043478260869,0.0007319569122046232,0.00020248512737452984,3.6148675297556423,1.8449368803586585,True,True,True,False,False,0.002990179695188999,0.0030201443005353212,0.003037984948605299,2.996460534632206e-05,6.42153900116682e-05,0.0031481729820370674,0.0031744304578751326,0.2576663210931053,0.5521895953786158,1.4996989943746797,-11.778846865247303,-5.158235616094644,3.5200820051112007,0.0,0.00020066089928150177,0.0007554187905043364,0.2656286841204143,1.0100210048896168,False,False,False,False,True,0.0005899384268559515,0.00149146921467036,0.001590373576618731,0.0009015307878144085,0.0010205690050497651,0.0019221381517127156,0.0019944130908697844,12.829652485985335,14.523681109659195,19.24501094458952,22.16429785787589,23.241534094495226,25.686363248257283,0.8913043478260869,0.0014246085193008184,0.00022415805142372847,6.355375192871681,2.5281777669901477,True,True,True,False,True,0.0005272478447295725,0.0035683871246874332,0.0040491195395588875,0.0030411392799578607,0.0035316208377480507,0.0055381483398377895,0.005850458983331919,85.3462823653056,99.11111642009988,140.89909807427662,38.62369216492661,39.922447364004576,42.97816426209935,0.9037267080745341,0.005332960281521082,0.0002144161844626069,24.872004391306213,6.767950140256472,True,True,True,False,False,0.000241952104261145,0.00032581156119704247,0.0003180742496624589,8.385945693589747e-05,8.148657798301429e-05,0.00042883644346147776,0.00046755853691138327,1.078535594309013,1.0480174571163585,2.4725552836290126,0.6566896490755141,0.4073703374228646,7.862920214537877,0.003105590062111801,0.00023097086523193866,5.3427982493303716e-05,4.323031760761075,1.3465952784001658,False,False,False,False
IMG_0373.MOV,data/distance_layout\dense_uniform\distance_2\IMG_0373.MOV,30.0,30.0,475,15.800000190734863,150,146,4,0.1333332061767578,0.02666666666666667,auto_platform,0.10000000149011612,5.0,4.86666202545166,True,0.0005351855070330203,0.0011213396210223436,0.001145895104855299,0.0005861541139893234,0.0006126282969489694,0.0013061827048659325,0.0014303952921181917,21.01406736585524,21.96318680542316,27.709618237270217,26.450202403269138,26.833907108636605,28.852610848673102,0.9384615384615385,0.0008971284842118621,0.00016069429693743587,5.582827152609821,2.0952354020923782,True,True,True,False,False,0.003026488935574889,0.003056844463571906,0.0030746522825211287,3.0355527997016907e-05,4.637730307877064e-05,0.003189939772710204,0.003233154071494937,0.3138320411180008,0.4794739096018704,1.6713790006602307,-10.066054371745976,-6.3847003965281495,4.4614988270948395,0.0,0.00020487909205257893,0.0005388602148741484,0.38020823656544905,1.010029948446268,False,False,False,False,True,0.0005146553157828748,0.0015342760598286986,0.0016168772708624601,0.0010196207440458238,0.0011065973085351288,0.0019580447115004063,0.0019968957640230656,32.95572138088629,35.76693863270732,46.79399862883949,30.35861645049598,31.069635391282713,33.40380315998426,0.9476923076923077,0.0014866158016957343,0.00014473835472017527,10.271056380113135,2.9811720830956814,True,True,True,False,True,0.00048504056758247316,0.003988765645772219,0.004380983766168356,0.0035037250781897455,0.003896600130246952,0.005816579330712557,0.006550084799528122,177.61361368784034,197.52954777697607,270.3038980249901,44.98952500845946,45.91264138929161,48.63704617320772,0.9353846153846154,0.006065701163606718,0.00014761407510377467,41.09161785109211,8.22357120694651,True,True,True,False,False,0.00023496140784118325,0.00032901790109463036,0.000323818763718009,9.405649325344712e-05,8.935866935644299e-05,0.0004363255575299263,0.0004776006971951574,1.408867378404647,1.3384989156963445,3.0237323979120863,2.9774022676115015,2.5323604741155843,9.610867064277423,0.006153846153846154,0.0002431406028335914,0.00011678751616273075,2.0819057620405363,1.4003061358783755,False,False,False,False
IMG_0374.MOV,data/distance_layout\dense_uniform\distance_2\IMG_0374.MOV,30.0,30.0,455,15.133333206176758,150,150,0,0.0,0.0,auto_platform,0.0,5.0,4.999995231628418,False,0.0007450435659848154,0.0011086161248385906,0.0011139634298160672,0.00036357255885377526,0.0003640952054411173,0.0012127854861319065,0.0013017365708947182,3.1510424000218293,3.1555721191022066,4.012051745865769,9.969084940481729,9.981562204367137,12.067330514879078,0.04590163934426229,0.0005518683465197682,0.0,55186.834651976824,1.4879883210228073,False,False,False,False,False,0.0028449303936213255,0.002893994562327862,0.002910016570240259,4.906416870653629e-05,7.585342973470688e-05,0.003000326221808791,0.0030136043205857277,0.531466479006046,0.8216496128317494,1.7998900233942638,-5.490482447528558,-1.7062669011528888,5.104919394375451,0.0,0.0001794411800801754,0.0,17944.11800801754,1.0172461754482796,False,False,False,False,True,0.0007521368097513914,0.0015818397514522076,0.0016221539117395878,0.0008297029417008162,0.0008546673925593495,0.0019862130284309387,0.002054673619568348,6.55168641387255,6.748816308560352,9.623581539335259,16.327062048600567,16.58455215072439,19.66673460768998,0.7442622950819672,0.0012871871003881097,0.0,128718.71003881097,2.1031276902603175,True,True,True,False,True,0.0006555712316185236,0.004021508153527975,0.004627696704119444,0.0033659369219094515,0.003979149390943348,0.005784162785857916,0.005978879053145647,45.3527241583767,53.615165375722725,69.19742030813248,33.132067570554455,34.5857529981187,36.80179808369407,0.9016393442622951,0.0053303317399695516,0.0,533033.1739969552,6.1343572743412995,True,True,True,False,False,0.0002456937509123236,0.0003298945666756481,0.00032084010308608413,8.42008157633245e-05,7.85079610068351e-05,0.0004432189161889255,0.0004889194970019162,1.139458655150976,1.0624193466122969,2.718526790857212,1.1339714316522769,0.525919411609538,8.68667234590207,0.003278688524590164,0.00024658735492266715,0.0,24658.735492266715,1.3427063791841078,False,False,False,False
IMG_0375.MOV,data/distance_layout\dense_uniform\distance_2\IMG_0375.MOV,30.0,30.0,471,15.666666984558105,150,149,1,0.03333330154418945,0.006666666666666667,auto_platform,0.03333333507180214,5.0,4.9666619300842285,True,0.0005951541825197637,0.0010986867127940059,0.00113347836304456,0.0005035325302742422,0.0005569119239225984,0.001281876815482974,0.0013509844429790974,7.3951533603742785,8.1791122479925,10.358572855287486,17.378943696134023,18.254123367507727,20.305998498593784,0.8753894080996885,0.0007744180038571358,0.0001610276522114873,4.809223715440166,1.8460539219305931,True,True,True,False,False,0.002997061936184764,0.003010921645909548,0.003029384883120656,1.3859709724783897e-05,5.2159419283270836e-05,0.0031406148336827755,0.0031750802882015705,0.12253298720599955,0.461138767161954,1.4445170903587379,-18.23493957570537,-6.723367316757223,3.194453688638395,0.0,0.00019785482436418533,0.0005249727983027697,0.37688585961757914,1.0046244322005662,False,False,False,False,True,0.0005907872691750526,0.0015599144389852881,0.0016883406788110733,0.0009691271698102355,0.0011153597733937204,0.0019808660726994276,0.0020406905096024275,12.459114815745709,14.33908356970069,18.09979483908951,21.909743760920275,23.13042791737461,25.153473043509322,0.8785046728971962,0.0014677096041850746,0.00018512248061597347,7.928316427596703,2.640399548831644,True,True,True,False,True,0.0005293520516715944,0.0038594501093029976,0.004269668832421303,0.003330098057631403,0.0037545874365605414,0.006028508767485619,0.006428069435060024,83.09190912424793,93.68367918259752,137.56988478953122,38.391174749144945,39.43327876368663,42.77046747142574,0.9003115264797508,0.005912988039199263,0.00015699886716902256,37.662615952721694,7.290894778088758,True,True,True,False,False,0.0002437843504594639,0.0003276921634096652,0.0003191380528733134,8.390781295020133e-05,8.255038119386882e-05,0.00043317669769749045,0.00046849469072185457,1.2295263250707456,1.209635470808004,2.8806779036495564,1.7947566348264299,1.6530902680090478,9.189894027199458,0.012461059190031152,0.00023190701904240996,0.0,23190.701904240996,1.344188676558028,False,False,False,False
IMG_0376.MOV,data/distance_layout\dense_uniform\distance_2\IMG_0376.MOV,30.0,30.0,482,16.03333282470703,150,150,0,0.0,0.0,auto_platform,0.0,5.0,4.999995231628418,True,0.000561766151804477,0.0011316308518871665,0.001154695637524128,0.0005698647000826895,0.0005976707907393575,0.0012699811486527324,0.0013092540903016925,11.977218921369273,12.561637705501765,14.984668654863762,21.567119754526583,21.980925272253664,23.512942882963593,0.9548192771084337,0.000752229243516922,0.0,75222.9243516922,2.0144162268449226,True,True,True,False,False,0.003007924184203148,0.003043146338313818,0.003050831612199545,3.522215411067009e-05,5.3369905799627304e-05,0.0031431883107870817,0.0031743329018354416,0.34667289989481426,0.5252915523717204,1.434309337696593,-9.201602133480018,-5.591991667465219,3.1328565157106048,0.0,0.000176871195435524,0.0,17687.1195435524,1.011709787864883,False,False,False,False,True,0.0005495421355590224,0.0016435066936537623,0.001745979767292738,0.00109396455809474,0.0011999624548479915,0.001961636124178767,0.002011558972299099,17.099350905552853,18.756164390434915,22.127008257469956,24.65959249616236,25.46288061009065,26.898453958521994,0.9518072289156626,0.0014655416598543525,0.0,146554.16598543525,2.9906836752051835,True,True,True,False,True,0.0005040038377046585,0.005024410784244537,0.005590642336755991,0.004520406946539879,0.005090721882879734,0.0071217394433915615,0.0077025699429214,167.2561403763815,188.35792970183607,245.00888958794317,44.467641414612174,45.49967816673566,47.7836368406744,0.9548192771084337,0.007202649489045143,0.0,720264.9489045143,9.968993107526286,True,True,True,False,False,0.00023672101087868214,0.000316823337925598,0.0003114787396043539,8.010232704691589e-05,7.63803836889565e-05,0.0004245812597218901,0.0004838556924369186,1.2228275478137858,1.1660090378240624,2.8926115277352613,1.7473042786857662,1.334038333707022,9.225802252709054,0.009036144578313253,0.0002487573365215212,0.0,24875.73365215212,1.3383828361900996,False,False,False,False
IMG_0377.MOV,data/distance_layout\dense_uniform\distance_2\IMG_0377.MOV,30.0,30.0,468,15.566666603088379,150,148,2,0.0666666030883789,0.013333333333333334,auto_platform,0.03333333507180214,5.0,4.933328628540039,True,0.000560241169296205,0.0011225040070712566,0.0011497061932459474,0.0005622628377750516,0.0005907182930968702,0.0012784147402271628,0.0014067132724449039,15.025821542156526,15.786260548330919,19.22584703343976,23.53676453059532,23.965585329032933,25.67770965227333,0.9150943396226415,0.0008477253722958267,0.00019936152966693044,4.252201383647615,2.0036085682196227,True,True,True,False,False,0.0030286035034805536,0.0030409747269004583,0.003070209175348282,1.2371223419904709e-05,4.4094398617744446e-05,0.003163963556289673,0.003210108494386077,0.12359152964839808,0.4405137623919189,1.377142821498701,-18.160225852422226,-7.120810378977258,2.779579652957321,0.0,0.0001839937176555395,0.00040738750249147415,0.4516430094941122,1.0040847946605382,False,False,False,False,True,0.0005385944969020784,0.0016462071798741817,0.0017301947809755802,0.0011076126829721034,0.0011931301560252905,0.002062621060758829,0.0021059303544461727,25.767200401319972,27.756655650300228,35.490130267849345,28.2213447029492,28.867342751422086,31.00215186889286,0.9182389937106918,0.001568865729495883,0.0001603434793651104,9.784406174219873,3.056487189050277,True,True,True,False,True,0.0005030741449445486,0.004035789519548416,0.004664089530706406,0.0035327153746038675,0.004162791417911649,0.006347700487822294,0.0064558046869933605,135.01725495447366,159.09820367498358,223.44432436027964,42.6077854814039,44.03330552398802,46.98338655515095,0.9150943396226415,0.005954506574198604,0.0001650757621973753,36.071355933398685,8.0222558843553,True,True,True,False,False,0.00024361735268030316,0.00032713188556954265,0.0003236059856135398,8.351453288923949e-05,8.361416985280812e-05,0.00044309126678854227,0.0004793240805156529,1.2983301552297544,1.2998791272457775,3.1574162323308714,2.267702884142423,2.278059402894263,9.986636747055384,0.009433962264150943,0.0002393322647549212,0.0,23933.22647549212,1.3428102800166082,False,False,False,False
IMG_0378.MOV,data/distance_layout\dense_uniform\distance_2\IMG_0378.MOV,30.0,30.0,476,15.833333015441895,150,125,16,0.5333328247070312,0.11347517730496454,auto_platform,0.30000001192092896,4.566666603088379,4.166662693023682,True,0.0005822472157888114,0.0011656258720904589,0.0011622585589066148,0.0005833786563016474,0.0005958430701866746,0.0013001802144572139,0.001351455575786531,10.09605060834285,10.311761882705099,12.698657596807601,20.083030377757424,20.266657516268435,22.075156263035858,1.0,0.0007850400870665908,0.0002778107300400734,2.825809092950985,2.0019432304391582,True,True,True,False,False,0.0029884756077080965,0.0030143880285322666,0.0030260165221989155,2.5912420824170113e-05,4.510604776442051e-05,0.0031251998152583838,0.0031564943492412567,0.33294000514174865,0.5795524808937293,1.853925351158062,-9.552680361903542,-4.738144614868509,5.361844863345215,0.0,0.00017558387480676174,0.0007459823973476887,0.23537267827102,1.0086707821062133,False,False,False,False,True,0.0005697713349945843,0.0018064607866108418,0.0018617127789184451,0.0012366894516162574,0.0013179020606912673,0.002161578740924597,0.0022477474994957447,17.313574908791914,18.45054635212474,22.648651049310633,24.76773500610857,25.320184617706264,27.10084681193354,0.9969325153374233,0.0017039367812685668,0.00030017487006261945,5.676480449256491,3.1705013496826973,True,True,True,False,True,0.0005213494878262281,0.004345723427832127,0.004917376674711704,0.0038243739400058985,0.00440494908252731,0.006107401568442583,0.006258944049477577,108.87325047014197,125.40121135996398,159.27914284714126,40.73842378423759,41.966034634903046,44.04317819782574,1.0,0.005746516457293183,0.0002545742318034172,22.573048405506555,8.335528334268943,True,True,True,False,False,0.00025159993674606085,0.0003108848468400538,0.00030339392833411694,5.928491009399295e-05,5.3615192882716656e-05,0.0004184963763691485,0.00044317636638879776,0.888101795734285,0.8031681080782375,2.5274296550934108,-1.0307450359615262,-1.9038708934387938,8.053581537843119,0.006134969325153374,0.00019339763093739748,0.00029844092205166817,0.6480265159612231,1.2356316573872157,False,False,False,False
IMG_0379.MOV,data/distance_layout\dense_uniform\distance_2\IMG_0379.MOV,30.0,30.0,482,16.03333282470703,150,145,5,0.16666650772094727,0.03333333333333333,auto_platform,0.0,5.0,4.833328723907471,True,0.0006660389481112361,0.001113894977606833,0.0011208972427994013,0.0004478560294955969,0.0004718350828625262,0.0012314766645431519,0.001314604189246893,6.154680164003846,6.484213304989458,8.003855620221408,15.784109783470765,16.237145859668253,18.06598491785748,0.9006024096385542,0.0006655420293100178,0.0,66554.20293100178,1.6724171773522167,True,True,True,False,False,0.0029555424116551876,0.0029848322737962008,0.0030055809766054153,2.9289862141013145e-05,5.476502701640129e-05,0.0030962538439780474,0.0031226342543959618,0.3942849385599749,0.7372184002928952,1.9578095307309824,-8.083796247793655,-2.648076674541014,5.835408766950642,0.0,0.0001718183048069477,0.0,17181.83048069477,1.0099101478041759,False,False,False,False,True,0.0006595719023607671,0.0017386864637956023,0.0018498639110475779,0.0010791145614348352,0.001218005025293678,0.002185352612286806,0.0022229375317692757,12.19397774649101,13.763437826097967,17.554454927814056,21.722907962340336,22.774538507095194,24.88774698019407,0.8945783132530121,0.0015910786460153759,0.0,159107.86460153759,2.636083280037284,True,True,True,False,True,0.0005892649060115218,0.0042816814966499805,0.004938504658639431,0.0036924165906384587,0.004356676945462823,0.0062035005539655685,0.006399882957339287,84.2687563629335,99.42858262527061,128.29846452689998,38.51333169313921,39.950224970048254,42.164429175591344,0.9186746987951807,0.005818055244162679,0.0,581805.5244162679,7.266140326650068,True,True,True,False,False,0.00025816287961788476,0.0003224716929253191,0.0003191380528733134,6.430881330743432e-05,5.7870347518473864e-05,0.0004280705179553479,0.000459643779322505,0.8970051304201684,0.8071988263118539,2.3266325558813095,-0.9441014600368403,-1.8603895649238074,7.3345560150804445,0.0030120481927710845,0.00019837607396766543,0.0,19837.607396766543,1.2491017043295298,False,False,False,False
