condition,detected,total,rate,mean_snr_db
angle_0_180/distance_1,,,,
angle_0_180/distance_2,,,,
angle_0_180/distance_3,,,,
angle_0_180/distance_4,,,,
angle_0_180/distance_5,,,,
angle_180_360/distance_1,,,,
angle_180_360/distance_2,,,,
angle_180_360/distance_3,,,,
angle_180_360/distance_4,,,,
angle_180_360/distance_5,,,,
