\ufeffvideo,path,fps,effective_fps,num_frames,duration_s,reference_frame_count,clean_reference_frame_count,reference_spike_frame_count,reference_spike_duration_s,reference_spike_fraction,reference_mode,reference_platform_start_s,reference_platform_end_s,reference_platform_duration_s,highpass_abs_detected,highpass_abs_base_mean,highpass_abs_active_mean,highpass_abs_active_median,highpass_abs_delta_mean,highpass_abs_delta_median,highpass_abs_active_p90,highpass_abs_snr_mean,highpass_abs_snr_median,highpass_abs_snr_p90,highpass_abs_active_fraction_above,highpass_abs_relative_gain,highpass_abs_peak_detected,highpass_abs_persistent_detected,highpass_topk_detected,highpass_topk_base_mean,highpass_topk_active_mean,highpass_topk_active_median,highpass_topk_delta_mean,highpass_topk_delta_median,highpass_topk_active_p90,highpass_topk_snr_mean,highpass_topk_snr_median,highpass_topk_snr_p90,highpass_topk_active_fraction_above,highpass_topk_relative_gain,highpass_topk_peak_detected,highpass_topk_persistent_detected,mean_removed_abs_detected,mean_removed_abs_base_mean,mean_removed_abs_active_mean,mean_removed_abs_active_median,mean_removed_abs_delta_mean,mean_removed_abs_delta_median,mean_removed_abs_active_p90,mean_removed_abs_snr_mean,mean_removed_abs_snr_median,mean_removed_abs_snr_p90,mean_removed_abs_active_fraction_above,mean_removed_abs_relative_gain,mean_removed_abs_peak_detected,mean_removed_abs_persistent_detected,raw_abs_detected,raw_abs_base_mean,raw_abs_active_mean,raw_abs_active_median,raw_abs_delta_mean,raw_abs_delta_median,raw_abs_active_p90,raw_abs_snr_mean,raw_abs_snr_median,raw_abs_snr_p90,raw_abs_active_fraction_above,raw_abs_relative_gain,raw_abs_peak_detected,raw_abs_persistent_detected,temporal_abs_detected,temporal_abs_base_mean,temporal_abs_active_mean,temporal_abs_active_median,temporal_abs_delta_mean,temporal_abs_delta_median,temporal_abs_active_p90,temporal_abs_snr_mean,temporal_abs_snr_median,temporal_abs_snr_p90,temporal_abs_active_fraction_above,temporal_abs_relative_gain,temporal_abs_peak_detected,temporal_abs_persistent_detected
IMG_9339.MOV,data/angle\IMG_9339.MOV,30.0,30.0,827,27.53333282470703,150,46,0,0.0,0.0,auto_platform,2.933333396911621,4.4666666984558105,1.5333318710327148,True,0.0004134509072173387,0.001233520801179111,0.0012756832875311375,0.0008200698939617723,0.0008678837330080569,0.0013257033424451947,42.994710515521845,45.501499489934055,48.123956181534844,0.9778434268833087,2.9834758604863487,True,True,True,0.0028079708572477102,0.003340852912515402,0.003322390839457512,0.0005328820552676916,0.0005301742348819971,0.003542539430782199,6.7199573380037405,6.685810124204801,9.462013839641138,0.9409158050221565,1.189774781277469,True,True,True,0.0004058584454469383,0.002959455596283078,0.003105668816715479,0.00255359715083614,0.0027014701045118272,0.004400298930704594,91.819038906252,97.13606883882558,143.68675235860047,0.9630723781388478,7.2918418465435035,True,True,True,0.000358784687705338,0.006906057707965374,0.006168041843920946,0.006547273020260036,0.005811828072182834,0.01345814298838377,457.20101432885946,405.84433877807,914.9176014165058,0.9985228951255539,19.248473930518372,True,True,False,0.00018753291806206107,0.0003700637607835233,0.000318712554872036,0.00018253084272146225,0.00013212318299338222,0.0006729130400344729,4.451131384135126,3.2219083505306276,11.859313800897471,0.35302806499261447,1.9733269476511668,True,False
IMG_9340.MOV,data/angle\IMG_9340.MOV,30.0,30.0,779,25.933332443237305,150,116,2,0.0666666030883789,0.01694915254237288,auto_platform,1.1333333253860474,5.0,3.8666629791259766,True,0.0005227808142080903,0.0011718752793967724,0.0012028130004182458,0.0006490944651886821,0.0006828289479017258,0.0014431239105761051,26.820802561375366,28.214722782361488,38.14445076550612,0.9236883942766295,2.2416187578955666,True,True,False,0.0029658200219273567,0.0031287441961467266,0.0032034676987677813,0.0001629241742193699,0.00024306587874889374,0.0033311869483441114,2.251806931346618,3.3594611306953803,5.12469390134076,0.11446740858505565,1.054933938342453,False,False,True,0.0005057412781752646,0.0021475537214428186,0.0021054462995380163,0.001641812443267554,0.0016063718358054757,0.003400917863473296,42.87701938371343,41.95146444633105,75.7835623730311,0.9109697933227345,4.2463485068715,True,True,True,0.0004714803653769195,0.006850284989923239,0.008215082809329033,0.006378804624546319,0.007745027425698936,0.012277217581868172,392.40398582469754,476.4497129243891,726.3394602239985,0.9268680445151033,14.529311277781119,True,True,False,0.0002319363265996799,0.00033451011404395103,0.00028764977469109,0.00010257378744427115,6.08489935984835e-05,0.000510195444803685,1.853024209289652,1.0992541180188082,5.1196040014164215,0.10492845786963434,1.442249771512992,True,False
IMG_9341.MOV,data/angle\IMG_9341.MOV,30.0,30.0,778,25.899999618530273,150,20,11,0.366666316986084,0.3548387096774194,auto_platform,3.9666666984558105,4.633333206176758,0.6666660308837891,True,0.00020255327399354428,0.0012275802437216043,0.001239981735125184,0.00102502696972806,0.0010533439635764807,0.0014145012246444821,17.10494265757632,17.57747710819734,20.489737906222043,1.0,6.060530247270797,True,True,False,0.002190185012295842,0.004023687448352575,0.004039199091494083,0.0018335024360567331,0.0019427649676799774,0.004200366325676441,4.3582644026916935,4.6179831752206795,5.001080249870824,0.1035031847133758,1.8371450017981725,True,False,True,0.00019365709158591926,0.0018898970447480679,0.001968283671885729,0.0016962399531621486,0.001794178955606185,0.0024366420693695545,25.746114412502262,27.232666334398573,34.341571454334805,0.9777070063694268,9.758987028417614,True,True,True,0.00016876596782822162,0.0032428267877548933,0.00267799012362957,0.0030740608199266717,0.002521193353459239,0.0066504767164587975,69.16130659723729,56.72269897173688,146.09710608142782,1.0,19.21493313779709,True,True,False,9.606055391486734e-05,0.0002713533758651465,0.00019339766004122794,0.00017529282195027918,0.00010382624168414623,0.000608617439866066,3.7079887852558726,2.1962481720402636,10.979438891872588,0.2961783439490446,2.824815856315284,True,False
